DATE,OPEN,HIGH,LOW,LTP,CLOSE,VOLUME,VALUE,NO OF TRADES
2024-01-25,618.5,623.8,606.25,615.0,612.75,22684904,13893936068.05,295756
2024-01-24,609.95,622.35,603.1,618.0,618.3,19221835,11836460488.35,274606
2024-01-23,627.0,634.9,600.65,606.0,605.1,30954343,19002405937.25,409569
2024-01-20,629.0,633.8,624.1,631.0,631.4,9886760,6218702860.5,133765
2024-01-19,633.0,635.5,624.7,628.7,627.75,11675202,7349140974.3,208754
2024-01-18,625.8,633.45,619.05,628.5,628.3,14695436,9220794332.4,239183
2024-01-17,624.0,636.8,623.0,626.45,626.0,30016308,18868396654.85,428458
2024-01-16,640.0,644.9,633.45,637.55,636.9,15025543,9612187789.45,253396
2024-01-15,638.9,645.5,636.1,640.8,640.1,16844018,10784099571.95,300031
2024-01-12,623.8,636.5,621.1,635.25,633.6,16620797,10480104627.65,302558
2024-01-11,626.0,627.15,618.5,621.25,620.2,15533860,9659792551.1,284550
2024-01-10,624.8,625.3,618.2,622.0,621.75,12742464,7927674893.1,213657
2024-01-09,632.0,634.35,624.5,625.95,625.4,13400235,8438088899.05,236123
2024-01-08,640.0,645.0,625.05,627.9,627.0,14739531,9337325175.95,336839
2024-01-05,645.0,651.75,637.75,641.45,641.95,15984585,10310453920.0,272662
2024-01-04,642.5,646.4,638.65,643.6,642.75,13883388,8926355539.75,271568
2024-01-03,639.35,648.0,635.8,644.5,643.45,14571772,9372732858.9,252225
2024-01-02,641.35,648.0,633.85,639.2,639.45,15164482,9712346967.95,249803
2024-01-01,642.2,646.9,638.0,638.1,641.35,8295548,5341716373.3,257804
2023-12-29,645.5,649.6,639.55,641.7,642.05,13221898,8494932618.15,332467
2023-12-28,650.25,653.3,646.5,649.3,651.4,16982092,11046112701.5,301058
2023-12-27,640.75,649.45,639.0,648.65,648.55,14417646,9301972173.2,295473
2023-12-26,638.85,641.3,635.65,638.5,638.05,10153089,6489768989.95,298625
2023-12-22,644.75,649.4,635.15,637.2,636.75,14998068,9633365890.05,307210
2023-12-21,632.15,648.95,627.5,644.0,643.75,19915516,12726451072.85,347188
2023-12-20,658.7,660.4,633.95,634.55,636.45,22542056,14605196613.65,419233
2023-12-19,648.5,659.6,640.25,656.0,655.4,19964008,13034125974.85,384049
2023-12-18,646.65,655.65,642.4,647.6,648.5,16221796,10544832650.95,347590
2023-12-15,628.0,650.0,619.85,648.3,648.25,29813572,19023430389.9,433979
2023-12-14,626.0,627.75,622.4,623.65,623.65,15813797,9873663687.1,336921
2023-12-13,614.45,620.5,611.65,619.0,619.85,13977914,8622977354.1,279821
2023-12-12,617.0,617.95,610.8,612.05,612.4,14494836,8896194867.15,282774
2023-12-11,615.0,619.9,613.1,614.2,614.25,11706255,7210878840.8,285158
2023-12-08,610.0,616.8,605.35,614.5,614.15,17722136,10822316306.2,294891
2023-12-07,610.0,612.55,605.0,611.5,611.7,10725706,6539746289.5,248309
2023-12-06,614.0,614.0,604.55,607.7,608.45,21439069,13076949822.2,273409
2023-12-05,595.05,611.3,595.05,608.25,608.25,36430152,22090196336.45,432396
2023-12-04,588.0,596.0,584.55,595.9,594.7,26077882,15393175008.05,386859
2023-12-01,567.0,574.2,566.55,571.85,571.75,10614230,6069542121.05,189868
2023-11-30,569.75,570.2,563.65,565.15,564.75,19758998,11187929536.5,314822
2023-11-29,568.0,569.0,565.1,568.35,568.6,10299034,5845506569.15,206929
2023-11-28,563.6,565.2,561.1,564.8,564.45,8153314,4593727819.7,186090
2023-11-24,561.95,562.45,559.25,560.7,560.35,6529851,3660804948.55,155259
2023-11-23,561.75,563.5,558.3,560.5,559.95,6376210,3575282774.35,198344
2023-11-22,562.95,564.5,555.15,559.5,558.95,14909071,8334245035.5,247815
2023-11-21,566.0,566.65,561.0,561.4,561.5,14280013,8041232058.75,223495
2023-11-20,564.0,566.8,560.6,563.5,563.75,12714585,7179613743.45,264832
2023-11-17,574.5,574.5,562.1,562.9,563.05,37173221,21045979976.3,682644
2023-11-16,584.7,588.0,582.9,584.1,584.65,8622660,5047671165.75,179964
2023-11-15,587.25,588.0,582.6,584.0,584.7,11397676,6666856921.25,221182
2023-11-13,581.0,582.5,575.2,581.3,581.35,11282362,6529178380.05,177978
2023-11-12,584.75,584.75,580.1,580.85,581.3,1947722,1133273076.55,53935
2023-11-10,577.8,581.0,575.4,580.25,579.5,6773038,3919567928.9,119792
2023-11-09,581.0,581.85,576.5,577.6,578.35,12434363,7190409015.15,167584
2023-11-08,581.9,582.6,579.0,580.4,580.3,15434808,8960148835.65,391419
2023-11-07,574.8,581.2,572.6,580.35,579.75,17923281,10348172706.1,466280
2023-11-06,582.0,582.5,573.25,573.95,574.35,16499138,9498482029.95,330138
2023-11-03,576.0,579.5,573.45,579.15,578.15,11371371,6565279355.45,205720
2023-11-02,571.1,575.45,567.6,572.0,572.1,11148516,6367849377.0,212716
2023-11-01,566.25,569.65,563.85,567.3,566.4,13575575,7699515897.65,240220
2023-10-31,567.0,569.5,563.15,565.95,565.55,13039696,7385312631.25,236664
2023-10-30,563.0,566.7,556.5,566.2,565.2,8593704,4832188898.35,191150
2023-10-27,550.0,562.5,550.0,561.7,561.15,10415296,5816877868.95,210599
2023-10-26,551.45,552.9,543.2,547.0,547.0,19424825,10630651336.6,317445
2023-10-25,558.6,560.8,553.6,556.6,556.2,12134624,6767161161.25,262171
2023-10-23,563.1,566.0,551.0,552.4,552.95,11875035,6642319960.75,263251
2023-10-20,569.9,570.0,562.1,562.8,563.1,11110988,6279375187.5,282726
2023-10-19,569.8,574.0,567.0,571.3,571.2,11441499,6532150778.6,239777
2023-10-18,577.75,579.25,569.35,572.75,572.65,11777454,6751531244.1,270057
2023-10-17,577.7,579.95,575.3,576.7,576.45,10765224,6216466935.7,269728
2023-10-16,576.0,578.75,571.5,575.5,575.65,11290293,6503388837.6,485503
2023-10-13,577.75,581.3,574.8,576.2,576.15,19064577,11001625403.05,465129
